loan_id,id,user_id,customer_id,loan_type,principal,principal_amount,tenure_months,interest_rate,interest_rate_apr,emi_amount,monthly_emi,months_paid,months_remaining,emi_day,next_due_date,status,nach_mandate_active,created_at
LN00012,LN00012,USR0010,USR0010,PERSONAL_LOAN,580000,580000.0,60,13.9,13.9,13466,13466.0,8,52,10,2026-09-10,ACTIVE,1,2021-04-13 00:00:00
LN00013,LN00013,USR0010,USR0010,CREDIT_CARD_DEBT,190000,190000.0,29,26.85,26.85,8976,8976.0,13,16,6,2026-09-06,ACTIVE,1,2021-04-13 00:00:00
LN00014,LN00014,USR0011,USR0011,EDUCATION_LOAN,1790000,1790000.0,110,8.09,8.09,23098,23098.0,9,101,4,2026-09-04,ACTIVE,1,2023-04-07 00:00:00
LN00015,LN00015,USR0011,USR0011,VEHICLE_LOAN,1030000,1030000.0,53,8.52,8.52,23387,23387.0,42,11,2,2026-09-02,ACTIVE,1,2023-04-07 00:00:00
LN00016,LN00016,USR0012,USR0012,PERSONAL_LOAN,620000,620000.0,47,11.38,11.38,16410,16410.0,39,8,10,2026-09-10,ACTIVE,1,2023-08-19 00:00:00
LN00017,LN00017,USR0013,USR0013,CREDIT_CARD_DEBT,210000,210000.0,6,33.13,33.13,38459,38459.0,3,3,4,2026-09-04,ACTIVE,1,2022-09-06 00:00:00
LN00018,LN00018,USR0013,USR0013,VEHICLE_LOAN,210000,210000.0,69,9.15,9.15,3925,3925.0,39,30,9,2026-09-09,ACTIVE,1,2022-09-06 00:00:00
LN00019,LN00019,USR0013,USR0013,EDUCATION_LOAN,1390000,1390000.0,72,10.94,10.94,26415,26415.0,48,24,7,2026-09-07,ACTIVE,1,2022-09-06 00:00:00
LN00020,LN00020,USR0014,USR0014,VEHICLE_LOAN,460000,460000.0,51,10.54,10.54,11229,11229.0,32,19,7,2026-09-07,ACTIVE,1,2023-08-21 00:00:00
LN00021,LN00021,USR0014,USR0014,HOME_LOAN,5240000,5240000.0,148,9.06,9.06,58916,58916.0,16,132,8,2026-09-08,ACTIVE,1,2023-08-21 00:00:00
LN00022,LN00022,USR0016,USR0016,CREDIT_CARD_DEBT,140000,140000.0,17,41.33,41.33,11017,11017.0,11,6,3,2026-09-03,ACTIVE,1,2024-09-21 00:00:00
LN00023,LN00023,USR0016,USR0016,HOME_LOAN,4050000,4050000.0,219,8.77,8.77,37136,37136.0,56,163,10,2026-09-10,ACTIVE,1,2024-09-21 00:00:00
LN00024,LN00024,USR0017,USR0017,CREDIT_CARD_DEBT,40000,40000.0,23,40.87,40.87,2536,2536.0,22,1,3,2026-09-03,ACTIVE,1,2022-05-26 00:00:00
LN00025,LN00025,USR0017,USR0017,VEHICLE_LOAN,890000,890000.0,84,8.27,8.27,13992,13992.0,31,53,2,2026-09-02,ACTIVE,1,2022-05-26 00:00:00
LN00026,LN00026,USR0018,USR0018,PERSONAL_LOAN,600000,600000.0,49,10.87,10.87,15217,15217.0,5,44,1,2026-09-01,ACTIVE,1,2021-12-06 00:00:00
LN00027,LN00027,USR0019,USR0019,VEHICLE_LOAN,550000,550000.0,38,10.48,10.48,17070,17070.0,4,34,7,2026-09-07,ACTIVE,1,2023-07-21 00:00:00
LN00028,LN00028,USR0019,USR0019,PERSONAL_LOAN,130000,130000.0,44,15.29,15.29,3878,3878.0,19,25,9,2026-09-09,ACTIVE,1,2023-07-21 00:00:00
LN00029,LN00029,USR0020,USR0020,EDUCATION_LOAN,1950000,1950000.0,85,10.25,10.25,32362,32362.0,6,79,9,2026-09-09,ACTIVE,1,2021-06-28 00:00:00
LN00030,LN00030,USR0020,USR0020,CREDIT_CARD_DEBT,50000,50000.0,23,37.65,37.65,3084,3084.0,20,3,3,2026-09-03,ACTIVE,1,2021-06-28 00:00:00
LN00031,LN00031,USR0020,USR0020,VEHICLE_LOAN,220000,220000.0,53,8.09,8.09,4950,4950.0,6,47,5,2026-09-05,ACTIVE,1,2021-06-28 00:00:00
LN00032,LN00032,USR0021,USR0021,PERSONAL_LOAN,440000,440000.0,44,14.74,14.74,13004,13004.0,14,30,3,2026-09-03,ACTIVE,1,2023-05-27 00:00:00
LN00033,LN00033,USR0022,USR0022,EDUCATION_LOAN,1110000,1110000.0,85,8.82,8.82,17606,17606.0,38,47,2,2026-09-02,ACTIVE,1,2021-12-22 00:00:00
LN00034,LN00034,USR0023,USR0023,EDUCATION_LOAN,1080000,1080000.0,75,9.35,9.35,19069,19069.0,6,69,7,2026-09-07,ACTIVE,1,2021-02-10 00:00:00
LN00035,LN00035,USR0023,USR0023,PERSONAL_LOAN,210000,210000.0,19,14.87,14.87,12473,12473.0,15,4,10,2026-09-10,ACTIVE,1,2021-02-10 00:00:00
LN00036,LN00036,USR0023,USR0023,HOME_LOAN,6160000,6160000.0,275,7.94,7.94,48700,48700.0,4,271,5,2026-09-05,ACTIVE,1,2021-02-10 00:00:00
LN00037,LN00037,USR0025,USR0025,VEHICLE_LOAN,850000,850000.0,36,9.09,9.09,27065,27065.0,9,27,1,2026-09-01,ACTIVE,1,2022-08-25 00:00:00
LN00038,LN00038,USR0025,USR0025,PERSONAL_LOAN,770000,770000.0,22,11.33,11.33,38925,38925.0,16,6,6,2026-09-06,ACTIVE,1,2022-08-25 00:00:00
LN00039,LN00039,USR0026,USR0026,CREDIT_CARD_DEBT,240000,240000.0,22,31.56,31.56,14507,14507.0,9,13,3,2026-09-03,ACTIVE,1,2021-10-10 00:00:00
LN00040,LN00040,USR0027,USR0027,VEHICLE_LOAN,600000,600000.0,83,9.1,9.1,9768,9768.0,50,33,5,2026-09-05,ACTIVE,1,2022-10-26 00:00:00
LN00041,LN00041,USR0027,USR0027,PERSONAL_LOAN,790000,790000.0,58,12.75,12.75,18316,18316.0,57,1,2,2026-09-02,ACTIVE,1,2022-10-26 00:00:00
LN00042,LN00042,USR0028,USR0028,PERSONAL_LOAN,260000,260000.0,39,11.67,11.67,8043,8043.0,18,21,9,2026-09-09,ACTIVE,1,2021-08-15 00:00:00
LN00043,LN00043,USR0028,USR0028,VEHICLE_LOAN,230000,230000.0,40,10.61,10.61,6852,6852.0,17,23,10,2026-09-10,ACTIVE,1,2021-08-15 00:00:00
LN00044,LN00044,USR0029,USR0029,HOME_LOAN,7190000,7190000.0,247,8.45,8.45,61497,61497.0,30,217,9,2026-09-09,ACTIVE,1,2022-04-13 00:00:00
LN00045,LN00045,USR0030,USR0030,EDUCATION_LOAN,700000,700000.0,91,10.61,10.61,11230,11230.0,55,36,10,2026-09-10,ACTIVE,1,2024-01-29 00:00:00
LN00046,LN00046,USR0030,USR0030,PERSONAL_LOAN,640000,640000.0,22,14.74,14.74,33376,33376.0,12,10,3,2026-09-03,ACTIVE,1,2024-01-29 00:00:00
LN00047,LN00047,USR0031,USR0031,VEHICLE_LOAN,960000,960000.0,79,10.5,10.5,16883,16883.0,47,32,2,2026-09-02,ACTIVE,1,2022-10-18 00:00:00
LN00048,LN00048,USR0031,USR0031,HOME_LOAN,2790000,2790000.0,178,7.57,7.57,26132,26132.0,48,130,9,2026-09-09,ACTIVE,1,2022-10-18 00:00:00
LN00049,LN00049,USR0031,USR0031,CREDIT_CARD_DEBT,230000,230000.0,6,35.1,35.1,42352,42352.0,1,5,1,2026-09-01,ACTIVE,1,2022-10-18 00:00:00
LN00050,LN00050,USR0032,USR0032,PERSONAL_LOAN,440000,440000.0,42,11.15,11.15,12701,12701.0,24,18,7,2026-09-07,ACTIVE,1,2022-06-01 00:00:00
LN00051,LN00051,USR0032,USR0032,HOME_LOAN,2750000,2750000.0,158,8.87,8.87,29561,29561.0,12,146,1,2026-09-01,ACTIVE,1,2022-06-01 00:00:00
LN00052,LN00052,USR0033,USR0033,CREDIT_CARD_DEBT,70000,70000.0,31,32.85,32.85,3379,3379.0,30,1,7,2026-09-07,ACTIVE,1,2023-10-26 00:00:00
LN00053,LN00053,USR0034,USR0034,PERSONAL_LOAN,510000,510000.0,32,11.98,11.98,18697,18697.0,8,24,7,2026-09-07,ACTIVE,1,2022-08-22 00:00:00
LN00054,LN00054,USR0035,USR0035,EDUCATION_LOAN,900000,900000.0,112,9.37,9.37,12085,12085.0,5,107,10,2026-09-10,ACTIVE,1,2021-12-24 00:00:00
LN00055,LN00055,USR0035,USR0035,VEHICLE_LOAN,210000,210000.0,59,8.29,8.29,4346,4346.0,8,51,9,2026-09-09,ACTIVE,1,2021-12-24 00:00:00
LN00056,LN00056,USR0036,USR0036,PERSONAL_LOAN,440000,440000.0,23,13.8,13.8,21881,21881.0,8,15,9,2026-09-09,ACTIVE,1,2021-05-08 00:00:00
LN00057,LN00057,USR0037,USR0037,HOME_LOAN,6170000,6170000.0,222,9.22,9.22,58013,58013.0,5,217,8,2026-09-08,ACTIVE,1,2024-11-21 00:00:00
LN00058,LN00058,USR0038,USR0038,VEHICLE_LOAN,240000,240000.0,56,9.92,9.92,5371,5371.0,6,50,9,2026-09-09,ACTIVE,1,2024-05-12 00:00:00
LN00059,LN00059,USR0038,USR0038,CREDIT_CARD_DEBT,40000,40000.0,20,28.36,28.36,2533,2533.0,1,19,6,2026-09-06,ACTIVE,1,2024-05-12 00:00:00
LN00060,LN00060,USR0039,USR0039,VEHICLE_LOAN,340000,340000.0,72,10.0,10.0,6299,6299.0,51,21,5,2026-09-05,ACTIVE,1,2022-12-08 00:00:00
LN00061,LN00061,USR0039,USR0039,CREDIT_CARD_DEBT,160000,160000.0,29,36.64,36.64,8394,8394.0,20,9,4,2026-09-04,ACTIVE,1,2022-12-08 00:00:00
LN00062,LN00062,USR0040,USR0040,VEHICLE_LOAN,210000,210000.0,82,9.31,9.31,3471,3471.0,58,24,9,2026-09-09,ACTIVE,1,2024-02-01 00:00:00
LN00063,LN00063,USR0040,USR0040,EDUCATION_LOAN,1230000,1230000.0,108,8.26,8.26,16179,16179.0,51,57,4,2026-09-04,ACTIVE,1,2024-02-01 00:00:00
LN00064,LN00064,USR0040,USR0040,HOME_LOAN,4100000,4100000.0,158,7.57,7.57,41070,41070.0,1,157,7,2026-09-07,ACTIVE,1,2024-02-01 00:00:00
LN00065,LN00065,USR0042,USR0042,HOME_LOAN,2800000,2800000.0,179,8.64,8.64,27879,27879.0,35,144,6,2026-09-06,ACTIVE,1,2021-09-07 00:00:00
LN00066,LN00066,USR0043,USR0043,HOME_LOAN,6800000,6800000.0,120,7.9,7.9,82144,82144.0,49,71,7,2026-09-07,ACTIVE,1,2021-03-02 00:00:00
LN00067,LN00067,USR0043,USR0043,VEHICLE_LOAN,370000,370000.0,83,8.42,8.42,5896,5896.0,47,36,5,2026-09-05,ACTIVE,1,2021-03-02 00:00:00
LN00068,LN00068,USR0044,USR0044,PERSONAL_LOAN,590000,590000.0,38,10.67,10.67,18365,18365.0,32,6,1,2026-09-01,ACTIVE,1,2022-08-08 00:00:00
LN00069,LN00069,USR0044,USR0044,CREDIT_CARD_DEBT,240000,240000.0,10,24.94,24.94,26828,26828.0,5,5,2,2026-09-02,ACTIVE,1,2022-08-08 00:00:00
LN00070,LN00070,USR0045,USR0045,HOME_LOAN,6250000,6250000.0,253,9.24,9.24,56195,56195.0,27,226,6,2026-09-06,ACTIVE,1,2022-08-25 00:00:00
LN00071,LN00071,USR0045,USR0045,PERSONAL_LOAN,600000,600000.0,41,14.91,14.91,18766,18766.0,6,35,10,2026-09-10,ACTIVE,1,2022-08-25 00:00:00
LN00072,LN00072,USR0046,USR0046,HOME_LOAN,6890000,6890000.0,249,7.66,7.66,55327,55327.0,9,240,7,2026-09-07,ACTIVE,1,2022-06-05 00:00:00
LN00073,LN00073,USR0047,USR0047,HOME_LOAN,5290000,5290000.0,231,9.13,9.13,48704,48704.0,43,188,3,2026-09-03,ACTIVE,1,2023-06-28 00:00:00
LN00074,LN00074,USR0047,USR0047,CREDIT_CARD_DEBT,120000,120000.0,13,35.58,35.58,11258,11258.0,5,8,5,2026-09-05,ACTIVE,1,2023-06-28 00:00:00
LN00075,LN00075,USR0048,USR0048,VEHICLE_LOAN,930000,930000.0,61,8.33,8.33,18753,18753.0,45,16,6,2026-09-06,ACTIVE,1,2023-03-13 00:00:00
LN00076,LN00076,USR0049,USR0049,EDUCATION_LOAN,800000,800000.0,88,8.48,8.48,12240,12240.0,18,70,4,2026-09-04,ACTIVE,1,2022-05-26 00:00:00
LN00077,LN00077,USR0050,USR0050,HOME_LOAN,3320000,3320000.0,269,9.45,9.45,29752,29752.0,7,262,3,2026-09-03,ACTIVE,1,2023-03-08 00:00:00
LN00078,LN00078,USR0050,USR0050,PERSONAL_LOAN,340000,340000.0,18,11.5,11.5,20655,20655.0,6,12,8,2026-09-08,ACTIVE,1,2023-03-08 00:00:00
LN00079,LN00079,USR0050,USR0050,CREDIT_CARD_DEBT,200000,200000.0,20,35.86,35.86,13429,13429.0,11,9,7,2026-09-07,ACTIVE,1,2023-03-08 00:00:00
LN00080,LN00080,USR0051,USR0051,PERSONAL_LOAN,490000,490000.0,46,14.46,14.46,13938,13938.0,23,23,4,2026-09-04,ACTIVE,1,2023-07-22 00:00:00
LN00081,LN00081,USR0052,USR0052,EDUCATION_LOAN,1990000,1990000.0,79,10.92,10.92,35430,35430.0,30,49,5,2026-09-05,ACTIVE,1,2024-12-12 00:00:00
LN00082,LN00082,USR0053,USR0053,HOME_LOAN,3200000,3200000.0,160,8.86,8.86,34153,34153.0,52,108,5,2026-09-05,ACTIVE,1,2021-11-21 00:00:00
LN00083,LN00083,USR0053,USR0053,CREDIT_CARD_DEBT,40000,40000.0,32,24.55,24.55,1716,1716.0,23,9,10,2026-09-10,ACTIVE,1,2021-11-21 00:00:00
LN00084,LN00084,USR0054,USR0054,HOME_LOAN,4780000,4780000.0,175,9.24,9.24,49821,49821.0,54,121,6,2026-09-06,ACTIVE,1,2024-11-27 00:00:00
LN00085,LN00085,USR0055,USR0055,PERSONAL_LOAN,620000,620000.0,57,12.84,12.84,14586,14586.0,16,41,6,2026-09-06,ACTIVE,1,2023-08-22 00:00:00
LN00086,LN00086,USR0055,USR0055,HOME_LOAN,4080000,4080000.0,221,8.24,8.24,35936,35936.0,33,188,1,2026-09-01,ACTIVE,1,2023-08-22 00:00:00
LN00087,LN00087,USR0056,USR0056,EDUCATION_LOAN,460000,460000.0,112,10.6,10.6,6485,6485.0,12,100,1,2026-09-01,ACTIVE,1,2022-01-10 00:00:00
LN00088,LN00088,USR0056,USR0056,VEHICLE_LOAN,780000,780000.0,61,9.75,9.75,16267,16267.0,55,6,8,2026-09-08,ACTIVE,1,2022-01-10 00:00:00
LN00089,LN00089,USR0057,USR0057,VEHICLE_LOAN,690000,690000.0,65,11.49,11.49,14308,14308.0,7,58,3,2026-09-03,ACTIVE,1,2023-01-12 00:00:00
LN00090,LN00090,USR0057,USR0057,PERSONAL_LOAN,730000,730000.0,19,12.82,12.82,42656,42656.0,1,18,1,2026-09-01,ACTIVE,1,2023-01-12 00:00:00
LN00091,LN00091,USR0059,USR0059,VEHICLE_LOAN,1110000,1110000.0,44,8.84,8.84,29628,29628.0,13,31,7,2026-09-07,ACTIVE,1,2021-02-18 00:00:00
LN00092,LN00092,USR0060,USR0060,EDUCATION_LOAN,1410000,1410000.0,100,10.2,10.2,20988,20988.0,42,58,2,2026-09-02,ACTIVE,1,2021-09-12 00:00:00
LN00093,LN00093,USR0060,USR0060,CREDIT_CARD_DEBT,50000,50000.0,24,36.88,36.88,2976,2976.0,19,5,5,2026-09-05,ACTIVE,1,2021-09-12 00:00:00
LN00094,LN00094,USR0061,USR0061,PERSONAL_LOAN,230000,230000.0,24,11.81,11.81,10807,10807.0,21,3,8,2026-09-08,ACTIVE,1,2022-12-24 00:00:00
LN00095,LN00095,USR0061,USR0061,CREDIT_CARD_DEBT,240000,240000.0,31,27.26,27.26,10869,10869.0,5,26,2,2026-09-02,ACTIVE,1,2022-12-24 00:00:00
LN00096,LN00096,USR0062,USR0062,VEHICLE_LOAN,690000,690000.0,65,8.99,8.99,13448,13448.0,4,61,3,2026-09-03,ACTIVE,1,2023-06-20 00:00:00
LN00097,LN00097,USR0062,USR0062,HOME_LOAN,7220000,7220000.0,266,8.39,8.39,59861,59861.0,28,238,7,2026-09-07,ACTIVE,1,2023-06-20 00:00:00
LN00098,LN00098,USR0062,USR0062,EDUCATION_LOAN,1220000,1220000.0,91,9.08,9.08,18597,18597.0,2,89,7,2026-09-07,ACTIVE,1,2023-06-20 00:00:00
LN00099,LN00099,USR0063,USR0063,EDUCATION_LOAN,660000,660000.0,71,9.17,9.17,12079,12079.0,23,48,4,2026-09-04,ACTIVE,1,2024-04-18 00:00:00
LN00100,LN00100,USR0064,USR0064,PERSONAL_LOAN,280000,280000.0,40,14.11,14.11,8815,8815.0,10,30,1,2026-09-01,ACTIVE,1,2022-05-16 00:00:00
LN00101,LN00101,USR0064,USR0064,VEHICLE_LOAN,530000,530000.0,75,11.09,11.09,9828,9828.0,40,35,10,2026-09-10,ACTIVE,1,2022-05-16 00:00:00
LN00102,LN00102,USR0064,USR0064,CREDIT_CARD_DEBT,50000,50000.0,13,41.46,41.46,4839,4839.0,11,2,5,2026-09-05,ACTIVE,1,2022-05-16 00:00:00
LN00103,LN00103,USR0065,USR0065,EDUCATION_LOAN,780000,780000.0,116,8.22,8.22,9768,9768.0,36,80,8,2026-09-08,ACTIVE,1,2023-08-03 00:00:00
LN00104,LN00104,USR0065,USR0065,CREDIT_CARD_DEBT,60000,60000.0,7,33.36,33.36,9551,9551.0,1,6,5,2026-09-05,ACTIVE,1,2023-08-03 00:00:00
LN00105,LN00105,USR0066,USR0066,EDUCATION_LOAN,1730000,1730000.0,68,9.29,9.29,32819,32819.0,27,41,4,2026-09-04,ACTIVE,1,2024-08-03 00:00:00
LN00106,LN00106,USR0067,USR0067,VEHICLE_LOAN,820000,820000.0,76,10.83,10.83,14956,14956.0,52,24,9,2026-09-09,ACTIVE,1,2024-07-11 00:00:00
LN00107,LN00107,USR0068,USR0068,CREDIT_CARD_DEBT,60000,60000.0,17,24.66,24.66,4218,4218.0,16,1,9,2026-09-09,ACTIVE,1,2021-08-30 00:00:00
LN00108,LN00108,USR0068,USR0068,EDUCATION_LOAN,1580000,1580000.0,110,9.99,9.99,21986,21986.0,32,78,6,2026-09-06,ACTIVE,1,2021-08-30 00:00:00
LN00109,LN00109,USR0069,USR0069,EDUCATION_LOAN,1750000,1750000.0,84,10.42,10.42,29433,29433.0,18,66,3,2026-09-03,ACTIVE,1,2022-07-10 00:00:00
LN00110,LN00110,USR0070,USR0070,PERSONAL_LOAN,710000,710000.0,32,11.63,11.63,25912,25912.0,20,12,4,2026-09-04,ACTIVE,1,2021-07-10 00:00:00
LN00111,LN00111,USR0071,USR0071,PERSONAL_LOAN,290000,290000.0,29,10.81,10.81,11408,11408.0,2,27,8,2026-09-08,ACTIVE,1,2023-11-03 00:00:00
LN00112,LN00112,USR0072,USR0072,CREDIT_CARD_DEBT,240000,240000.0,30,24.71,24.71,10803,10803.0,19,11,4,2026-09-04,ACTIVE,1,2023-08-29 00:00:00
LN00113,LN00113,USR0072,USR0072,VEHICLE_LOAN,320000,320000.0,46,9.81,9.81,8374,8374.0,7,39,4,2026-09-04,ACTIVE,1,2023-08-29 00:00:00
LN00114,LN00114,USR0073,USR0073,PERSONAL_LOAN,320000,320000.0,59,13.29,13.29,7416,7416.0,4,55,4,2026-09-04,ACTIVE,1,2022-09-18 00:00:00
LN00115,LN00115,USR0073,USR0073,VEHICLE_LOAN,240000,240000.0,72,8.59,8.59,4277,4277.0,55,17,7,2026-09-07,ACTIVE,1,2022-09-18 00:00:00
LN00116,LN00116,USR0073,USR0073,EDUCATION_LOAN,1980000,1980000.0,82,10.9,10.9,34350,34350.0,60,22,3,2026-09-03,ACTIVE,1,2022-09-18 00:00:00
LN00117,LN00117,USR0074,USR0074,PERSONAL_LOAN,770000,770000.0,27,14.02,14.02,33418,33418.0,19,8,6,2026-09-06,ACTIVE,1,2023-09-15 00:00:00
LN00118,LN00118,USR0075,USR0075,VEHICLE_LOAN,650000,650000.0,81,10.06,10.06,11088,11088.0,45,36,6,2026-09-06,ACTIVE,1,2021-02-24 00:00:00
LN00119,LN00119,USR0075,USR0075,HOME_LOAN,4930000,4930000.0,265,8.83,8.83,42345,42345.0,37,228,3,2026-09-03,ACTIVE,1,2021-02-24 00:00:00
LN00120,LN00120,USR0076,USR0076,VEHICLE_LOAN,230000,230000.0,67,9.23,9.23,4406,4406.0,35,32,5,2026-09-05,ACTIVE,1,2023-11-23 00:00:00
LN00121,LN00121,USR0077,USR0077,PERSONAL_LOAN,240000,240000.0,14,14.2,14.2,18703,18703.0,2,12,1,2026-09-01,ACTIVE,1,2024-03-02 00:00:00
LN00122,LN00122,USR0077,USR0077,EDUCATION_LOAN,1950000,1950000.0,74,8.28,8.28,33738,33738.0,39,35,4,2026-09-04,ACTIVE,1,2024-03-02 00:00:00
LN00123,LN00123,USR0078,USR0078,HOME_LOAN,4660000,4660000.0,120,9.24,9.24,59638,59638.0,22,98,10,2026-09-10,ACTIVE,1,2023-04-13 00:00:00
LN00124,LN00124,USR0078,USR0078,EDUCATION_LOAN,680000,680000.0,72,10.08,10.08,12625,12625.0,52,20,3,2026-09-03,ACTIVE,1,2023-04-13 00:00:00
LN00125,LN00125,USR0079,USR0079,EDUCATION_LOAN,1910000,1910000.0,71,10.05,10.05,35797,35797.0,59,12,6,2026-09-06,ACTIVE,1,2023-04-20 00:00:00
LN00126,LN00126,USR0079,USR0079,CREDIT_CARD_DEBT,130000,130000.0,7,35.12,35.12,20808,20808.0,1,6,3,2026-09-03,ACTIVE,1,2023-04-20 00:00:00
LN00127,LN00127,USR0080,USR0080,CREDIT_CARD_DEBT,150000,150000.0,33,24.55,24.55,6296,6296.0,24,9,2,2026-09-02,ACTIVE,1,2022-07-20 00:00:00
LN00128,LN00128,USR0080,USR0080,PERSONAL_LOAN,750000,750000.0,35,14.29,14.29,26329,26329.0,26,9,10,2026-09-10,ACTIVE,1,2022-07-20 00:00:00
LN00129,LN00129,USR0080,USR0080,HOME_LOAN,6060000,6060000.0,145,7.93,7.93,65094,65094.0,22,123,5,2026-09-05,ACTIVE,1,2022-07-20 00:00:00
LN00130,LN00130,USR0081,USR0081,EDUCATION_LOAN,1030000,1030000.0,70,9.95,9.95,19455,19455.0,47,23,7,2026-09-07,ACTIVE,1,2023-03-13 00:00:00
LN00131,LN00131,USR0081,USR0081,PERSONAL_LOAN,170000,170000.0,52,14.12,14.12,4389,4389.0,32,20,6,2026-09-06,ACTIVE,1,2023-03-13 00:00:00
LN00132,LN00132,USR0082,USR0082,PERSONAL_LOAN,130000,130000.0,54,15.87,15.87,3384,3384.0,38,16,3,2026-09-03,ACTIVE,1,2021-10-11 00:00:00
LN00133,LN00133,USR0082,USR0082,VEHICLE_LOAN,610000,610000.0,60,11.48,11.48,13409,13409.0,20,40,5,2026-09-05,ACTIVE,1,2021-10-11 00:00:00
LN00134,LN00134,USR0082,USR0082,HOME_LOAN,6690000,6690000.0,152,8.63,8.63,72510,72510.0,12,140,1,2026-09-01,ACTIVE,1,2021-10-11 00:00:00
LN00135,LN00135,USR0083,USR0083,CREDIT_CARD_DEBT,220000,220000.0,33,31.27,31.27,10020,10020.0,3,30,3,2026-09-03,ACTIVE,1,2024-01-09 00:00:00
LN00136,LN00136,USR0083,USR0083,EDUCATION_LOAN,920000,920000.0,98,10.0,10.0,13774,13774.0,21,77,10,2026-09-10,ACTIVE,1,2024-01-09 00:00:00
LN00137,LN00137,USR0084,USR0084,PERSONAL_LOAN,630000,630000.0,21,14.89,14.89,34263,34263.0,11,10,2,2026-09-02,ACTIVE,1,2023-06-12 00:00:00
LN00138,LN00138,USR0084,USR0084,VEHICLE_LOAN,640000,640000.0,51,11.27,11.27,15851,15851.0,23,28,6,2026-09-06,ACTIVE,1,2023-06-12 00:00:00
LN00139,LN00139,USR0085,USR0085,PERSONAL_LOAN,480000,480000.0,52,10.53,10.53,11536,11536.0,6,46,6,2026-09-06,ACTIVE,1,2022-05-15 00:00:00
LN00140,LN00140,USR0086,USR0086,CREDIT_CARD_DEBT,100000,100000.0,6,31.13,31.13,18212,18212.0,3,3,4,2026-09-04,ACTIVE,1,2024-06-01 00:00:00
LN00141,LN00141,USR0087,USR0087,PERSONAL_LOAN,370000,370000.0,34,12.97,12.97,13062,13062.0,17,17,2,2026-09-02,ACTIVE,1,2021-04-16 00:00:00
LN00142,LN00142,USR0087,USR0087,HOME_LOAN,3430000,3430000.0,120,8.25,8.25,42070,42070.0,4,116,7,2026-09-07,ACTIVE,1,2021-04-16 00:00:00
LN00143,LN00143,USR0088,USR0088,EDUCATION_LOAN,520000,520000.0,106,9.81,9.81,7353,7353.0,27,79,3,2026-09-03,ACTIVE,1,2023-03-29 00:00:00
LN00144,LN00144,USR0089,USR0089,EDUCATION_LOAN,1390000,1390000.0,116,9.39,9.39,18277,18277.0,25,91,6,2026-09-06,ACTIVE,1,2022-02-13 00:00:00
LN00145,LN00145,USR0089,USR0089,CREDIT_CARD_DEBT,110000,110000.0,23,39.54,39.54,6896,6896.0,13,10,2,2026-09-02,ACTIVE,1,2022-02-13 00:00:00
LN00146,LN00146,USR0090,USR0090,EDUCATION_LOAN,1170000,1170000.0,70,8.08,8.08,21017,21017.0,29,41,2,2026-09-02,ACTIVE,1,2024-09-12 00:00:00
