user_id,avg_monthly_income,income_volatility,income_trend,months_since_last_income,avg_monthly_essential_spend,avg_monthly_discretionary_spend,essential_to_income_ratio,discretionary_to_income_ratio,burn_rate_trend,spending_spike_count,current_balance,avg_balance_30d,min_balance_30d,balance_trend,days_until_zero,total_emi_burden,emi_to_income_ratio,missed_emi_count,emi_payment_consistency,max_single_medical_txn,medical_spend_spike,income_drop_flag,income_drop_pct,large_unexpected_debit,risk_label
USR0045,93496,0.0221,-0.0011,0.9,110415,17064,1.181,0.1825,0.021,0,0,17989,0,-466.88,999,74961,0.8018,0,1.0,2703,0.385,0,0.0512,23,at_risk
USR0046,48947,0.0329,0.0044,0.8,71914,7765,1.4692,0.1586,0.0057,0,1675,18122,1675,-174.31,9,55327,1.1304,0,1.0,1030,1.0716,0,-0.0183,9,critical
USR0047,30579,0.3725,-0.1689,0.8,42274,14442,1.3825,0.4723,-0.1099,0,0,2129,0,-254.38,999,59962,1.9609,2,0.8889,1065,1.6221,0,0.265,20,critical
USR0048,57580,0.0455,0.0224,0.3,38437,9926,0.6675,0.1724,0.0144,0,228813,237102,214512,102.58,999,18753,0.3257,0,1.0,1428,1.245,0,-0.0638,18,healthy
USR0049,34515,0.026,-0.0051,0.9,21792,4225,0.6314,0.1224,-0.0148,0,150890,161797,150890,294.03,999,12240,0.3546,0,1.0,688,0.4241,0,-0.0376,16,healthy
USR0050,63731,0.0457,0.0149,0.1,78561,9752,1.2327,0.153,-0.0148,0,1333,12876,0,-183.21,7,63836,1.0017,0,1.0,1274,1.456,0,-0.0476,27,critical
USR0051,38229,0.0325,0.0094,0.9,29504,7714,0.7718,0.2018,0.0255,0,82140,95964,82140,-47.88,999,13938,0.3646,0,1.0,530,0.7229,0,-0.0568,18,healthy
USR0052,61464,0.0352,0.0045,0.2,52578,15174,0.8554,0.2469,0.0017,0,93398,109303,91564,-184.11,507,35430,0.5764,0,1.0,892,1.0411,0,-0.108,15,healthy
USR0053,18261,0.4181,-0.2118,0.3,35893,7061,1.9655,0.3866,-0.1235,0,16101,15853,11874,-84.35,190,35869,1.9642,2,0.8889,886,2.1349,0,0.0606,10,critical
USR0054,118591,0.227,0.0066,0.0,77745,22888,0.6556,0.193,-0.0021,0,619196,607716,573252,789.4,999,49821,0.4201,0,1.0,2129,0.4569,0,0.3254,14,healthy
USR0055,71670,0.0356,0.0103,0.8,68130,10230,0.9506,0.1427,-0.0178,0,197342,209209,156917,-101.89,999,50522,0.7049,0,1.0,1423,1.3454,0,-0.0391,18,at_risk
USR0056,27651,0.0108,-0.0051,0.8,25179,5291,0.9106,0.1914,-0.1152,1,31131,29948,11164,-85.1,365,22752,0.8228,2,0.8889,82871,0.0078,0,0.0153,18,critical
USR0057,30915,0.0792,-0.004,0.8,66555,6964,2.1528,0.2253,0.0048,0,22427,18485,0,119.83,999,56964,1.8426,0,1.0,622,2.0978,0,0.0055,18,at_risk
USR0058,16577,0.0786,-0.0242,0.8,4879,3057,0.2943,0.1844,-0.0491,0,108690,109152,98178,257.04,999,0,0.0,0,1.0,403,0.4722,0,-0.0488,11,healthy
USR0059,15528,0.4335,-0.2115,0.9,31254,4285,2.0128,0.276,-0.086,0,1008,6183,1008,12.41,999,29628,1.9081,1,0.8889,903,1.662,0,0.2595,15,critical
USR0060,32925,0.0252,-0.0003,0.9,32010,6713,0.9722,0.2039,0.0027,0,17731,25970,17731,-186.68,94,23964,0.7278,0,1.0,582,1.4178,0,0.0736,13,at_risk
USR0061,22687,0.0331,0.007,0.8,20656,3914,0.9105,0.1725,0.0017,0,16479,32204,16479,238.11,999,21676,0.9554,2,0.8889,441,0.5663,0,0.0621,21,at_risk
USR0062,112287,0.0322,-0.0121,0.8,126043,18632,1.1225,0.1659,-0.0173,0,0,19790,0,-311.85,999,91906,0.8185,0,1.0,1863,0.9765,0,0.011,22,at_risk
USR0063,57315,0.0332,-0.0018,0.9,28339,5964,0.4944,0.1041,-0.0033,0,259045,265971,236901,640.9,999,12079,0.2107,0,1.0,744,0.6714,0,-0.0525,20,healthy
USR0064,84651,0.0218,-0.0013,0.8,53501,17979,0.632,0.2124,-0.0187,0,440252,456772,415515,60.98,999,23482,0.2774,0,1.0,1429,0.4558,0,0.01,19,healthy
USR0065,60625,0.0303,0.0016,0.8,38650,8187,0.6375,0.135,-0.0449,0,320602,329907,294341,362.65,999,19319,0.3187,0,1.0,909,0.8697,0,0.0284,27,healthy
USR0066,18552,0.4158,-0.1824,0.0,31938,8893,1.7215,0.4793,-0.0457,0,6363,3921,740,-126.61,50,32819,1.769,1,0.8889,425,0.5059,0,-0.0074,10,critical
USR0067,37918,0.0279,0.0095,0.8,28921,7441,0.7627,0.1962,-0.0025,0,63147,68781,55206,-49.68,999,14956,0.3944,0,1.0,1042,1.0144,0,-0.0389,18,healthy
USR0068,21320,0.085,-0.0252,0.8,29586,4008,1.3877,0.188,0.0097,0,38277,28883,14604,293.99,999,26204,1.2291,2,0.8889,247,0.6319,0,0.0632,13,at_risk
USR0069,15720,0.028,0.0,0.8,33749,4866,2.1468,0.3095,0.0779,0,12377,13667,2959,-232.28,53,29433,1.8723,0,1.0,35892,1.0,0,0.0403,13,critical
USR0070,24119,0.0437,0.0033,0.8,32865,4971,1.3626,0.2061,-0.0077,0,28015,29267,10708,207.43,999,25912,1.0743,0,1.0,379,0.8923,0,-0.0952,9,at_risk
USR0071,34573,0.0346,-0.0021,0.8,23910,7054,0.6916,0.204,-0.0554,1,44767,54453,40142,-652.9,68,11408,0.33,0,1.0,44326,0.0064,0,0.0318,20,healthy
USR0072,93898,0.0273,0.0016,0.8,70047,14121,0.746,0.1504,-0.0309,1,220818,235870,188832,444.12,999,19177,0.2042,1,0.9444,78977,0.0961,0,0.0114,19,at_risk
USR0073,52203,0.4164,-0.175,0.6,59210,20892,1.1342,0.4002,-0.0806,0,279183,297326,267757,-843.67,330,46043,0.882,5,0.8148,2790,1.554,0,-0.3636,16,critical
USR0074,117342,0.0361,0.0143,0.8,62952,13803,0.5365,0.1176,-0.0431,0,400958,401064,337861,783.94,999,33418,0.2848,0,1.0,1863,0.3131,0,-0.0293,17,healthy
USR0075,43061,0.0501,-0.0012,0.9,63271,8786,1.4693,0.204,0.0109,0,0,11071,0,63.25,999,53433,1.2409,0,1.0,774,1.3169,0,0.0348,18,at_risk
USR0076,26364,0.0195,-0.0034,0.8,13644,5783,0.5175,0.2193,-0.0079,0,165601,167456,150976,156.18,999,4406,0.1671,0,1.0,617,0.47,0,0.0099,19,healthy
USR0077,33872,0.315,-0.1188,0.8,55703,11841,1.6445,0.3496,-0.0298,0,0,8369,0,-328.18,999,52441,1.5482,2,0.8889,1427,0.4735,0,-0.0733,21,critical
USR0078,103288,0.0354,0.0016,0.8,115393,21589,1.1172,0.209,0.0191,0,3470,43422,0,-624.5,5,72263,0.6996,0,1.0,1829,0.8096,0,0.0084,17,critical
USR0079,31611,0.0567,0.0129,0.8,64709,4621,2.0471,0.1462,-0.0056,0,21826,27085,20037,347.89,999,56605,1.7907,0,1.0,632,2.315,0,0.1128,18,at_risk
USR0080,111255,0.1427,0.0076,0.8,138026,13908,1.2406,0.125,0.0019,0,83655,113008,83655,790.4,999,97719,0.8783,0,1.0,1336,0.5659,0,-0.2503,24,at_risk
USR0081,34577,0.0422,-0.0167,0.8,33450,8774,0.9674,0.2537,0.0295,0,53553,68152,53553,-370.41,144,23844,0.6896,0,1.0,792,1.468,0,0.0665,14,at_risk
USR0082,75008,0.0165,-0.0043,0.8,111243,15628,1.4831,0.2084,-0.0065,0,50699,48420,4497,37.94,999,89303,1.1906,0,1.0,1450,0.6145,0,-0.0379,11,at_risk
USR0083,112644,0.029,0.0029,0.8,66910,18443,0.594,0.1637,0.0206,0,419935,421225,348840,675.46,999,23794,0.2112,0,1.0,2786,1.0,0,0.0438,27,healthy
USR0084,20833,0.0303,-0.0015,0.9,27972,2484,1.3427,0.1192,-0.1027,1,0,3715,0,-117.89,999,50114,2.4055,3,0.8333,290,1.1299,0,-0.0506,19,critical
USR0085,44410,0.0345,0.0004,0.9,24434,10493,0.5502,0.2363,0.0244,0,235777,249168,235777,178.26,999,11536,0.2598,0,1.0,726,1.1986,0,0.0487,17,healthy
USR0086,13779,0.3455,-0.1563,0.9,20792,5295,1.509,0.3843,0.0217,0,1675,6662,247,-280.85,5,18212,1.3218,1,0.8889,714,1.7135,0,-0.0941,13,critical
USR0087,82920,0.0347,0.014,0.5,74375,14841,0.8969,0.179,-0.008,0,23980,53082,23980,-306.11,78,55132,0.6649,0,1.0,813,1.3148,0,-0.0772,19,at_risk
USR0088,44823,0.0355,0.0061,0.8,19006,10670,0.424,0.2381,0.0506,0,306309,300401,268601,234.22,999,7353,0.164,0,1.0,775,0.388,0,-0.0462,19,healthy
USR0089,48306,0.0276,0.0063,0.8,38238,9140,0.7916,0.1892,0.0069,0,69576,74947,50786,-138.36,502,25173,0.5211,0,1.0,957,0.7011,0,-0.0653,24,healthy
USR0090,87280,0.3583,0.0018,0.6,70523,15463,0.808,0.1772,-0.013,0,146101,139004,85051,317.45,999,47257,0.5414,0,1.0,1180,1.4981,0,-0.2937,23,at_risk
USR0091,41672,0.0465,-0.0105,0.8,36215,6151,0.869,0.1476,-0.0302,0,84311,84240,51931,-18.2,999,18595,0.4462,0,1.0,1373,0.7064,0,0.03,18,healthy
USR0092,25229,0.0339,0.0109,0.8,37763,3459,1.4968,0.1371,-0.1142,1,0,3904,0,-88.47,999,37079,1.4697,2,0.8889,194236,0.3548,0,-0.0663,18,critical
USR0093,75267,0.0216,0.005,0.9,48857,11466,0.6491,0.1523,-0.0236,0,214689,228262,185361,404.21,999,27443,0.3646,0,1.0,898,0.9978,0,0.0294,15,healthy
USR0094,41218,0.0313,-0.0046,0.8,99562,5342,2.4155,0.1296,-0.0074,0,33712,35164,2916,-103.82,324,86835,2.1067,0,1.0,719,1.0574,0,0.0604,18,at_risk
USR0095,35257,0.1818,0.0223,0.5,46833,7116,1.3283,0.2018,-0.0092,0,20692,30348,15731,236.23,999,35856,1.017,0,1.0,971,1.0696,0,0.0864,22,at_risk
USR0096,58769,0.031,-0.0012,0.9,24501,15030,0.4169,0.2558,0.0362,0,293385,307399,293385,794.18,999,8079,0.1375,0,1.0,959,0.6156,0,0.0216,18,healthy
USR0097,22808,0.0437,0.0139,0.1,20966,6015,0.9192,0.2637,-0.0104,0,19617,20888,3741,-110.64,177,16109,0.7063,0,1.0,377,0.58,0,0.0277,9,at_risk
USR0098,29297,0.0284,0.0059,0.9,30017,7150,1.0246,0.244,-0.0895,0,1331,15099,1331,60.26,999,40533,1.3835,5,0.8148,815,1.1062,0,-0.0405,20,critical
USR0099,49441,0.0124,0.0031,0.8,72978,5871,1.4761,0.1187,0.0007,0,36334,37005,0,-30.51,999,60146,1.2165,0,1.0,1221,3.1838,0,0.0064,9,at_risk
USR0100,65405,0.0402,-0.0025,0.8,76451,10670,1.1689,0.1631,0.0026,0,55803,79022,55803,-675.44,82,59193,0.905,0,1.0,1172,1.0,0,-0.0519,18,at_risk
USR0101,102973,0.129,0.0051,0.6,51464,10022,0.4998,0.0973,-0.0913,0,425705,412496,337034,1833.68,999,35175,0.3416,2,0.8889,1002,1.2254,0,-0.3036,20,healthy
USR0102,40487,0.2084,0.0674,0.5,42268,7213,1.044,0.1782,0.0001,0,32636,29538,13406,287.11,999,31988,0.7901,0,1.0,242,1.0,0,-0.083,20,at_risk
USR0103,11549,0.4345,-0.1922,0.9,32417,5831,2.8068,0.5049,-0.0202,0,16448,22806,16448,-73.52,223,37709,3.265,1,0.8889,298,2.0135,1,0.4166,8,critical
USR0104,61661,0.0332,0.0055,0.4,27716,8095,0.4495,0.1313,-0.0252,0,381566,390078,357808,642.37,999,8571,0.139,0,1.0,934,0.7583,0,-0.0704,18,healthy
USR0105,51030,0.437,-0.1572,0.7,44052,23124,0.8633,0.4531,-0.0569,0,250124,262841,238542,-219.79,999,18482,0.3622,1,0.8889,1924,0.8041,0,0.3633,18,at_risk
USR0106,55747,0.0343,0.0144,0.9,37535,11564,0.6733,0.2074,-0.0234,0,260860,276429,260860,339.57,999,18668,0.3349,0,1.0,1235,0.2905,0,0.0326,17,healthy
USR0107,99918,0.0231,-0.0007,0.9,69392,11822,0.6945,0.1183,-0.0364,0,476947,475802,416793,818.71,999,45874,0.4591,0,1.0,2052,0.2875,0,0.0389,27,healthy
USR0108,30532,0.0263,0.0071,0.8,38541,6330,1.2623,0.2073,0.0102,0,8152,14050,1460,-201.16,40,31166,1.0208,0,1.0,375,1.6077,0,0.019,18,critical
USR0109,12700,0.4203,-0.2057,0.9,31403,5250,2.4727,0.4134,-0.1086,0,12663,17377,12663,-57.14,221,35857,2.8235,1,0.8889,483,1.6947,0,0.1266,8,critical
USR0110,73816,0.0397,-0.0061,0.8,54453,13919,0.7377,0.1886,0.0133,0,327716,340901,306298,-22.47,999,30048,0.4071,0,1.0,1348,0.7588,0,-0.0091,27,healthy
USR0111,96002,0.0366,0.0127,0.8,71294,14462,0.7426,0.1506,-0.0061,0,166980,183684,133903,59.42,999,48472,0.5049,1,0.9444,1826,0.5185,0,-0.0414,26,at_risk
USR0112,11490,0.1099,-0.0364,0.4,5101,2158,0.444,0.1878,0.0246,0,76626,73057,68488,117.54,999,0,0.0,0,1.0,122,0.9836,0,0.0141,11,healthy
USR0113,22145,0.0278,-0.0052,0.8,6933,3832,0.3131,0.173,-0.0205,0,131778,134928,120632,292.92,999,0,0.0,0,1.0,178,1.6036,0,0.0292,9,healthy
USR0114,28740,0.4264,-0.1678,0.8,31190,9593,1.0853,0.3338,-0.0093,0,104768,108567,97367,-633.43,165,14459,0.5031,0,1.0,750,1.0964,0,-0.0372,17,at_risk
USR0115,89587,0.1553,0.031,0.5,26195,8211,0.2924,0.0917,-0.0423,0,533901,518902,476447,2079.82,999,4189,0.0468,0,1.0,17100,0.1,0,0.2399,11,healthy
USR0116,43326,0.0357,0.0132,0.9,40782,9912,0.9413,0.2288,0.0027,0,75817,95991,75817,-328.68,230,22417,0.5174,0,1.0,1662,0.8985,0,0.0065,18,at_risk
USR0117,18265,0.0702,-0.0209,0.9,21830,2878,1.1952,0.1576,-0.0145,0,4010,10113,4010,-264.7,15,16033,0.8778,0,1.0,476,0.4233,0,0.0164,12,critical
USR0118,23516,0.084,0.018,0.2,29219,3161,1.2425,0.1344,0.012,0,791,6756,0,-6.72,117,19098,0.8121,0,1.0,586,0.8009,0,0.1359,16,at_risk
USR0119,69131,0.2817,-0.09,0.1,48446,19107,0.7008,0.2764,0.0092,0,415234,414615,389731,590.0,999,13661,0.1976,0,1.0,1395,1.4249,0,-0.3572,18,healthy
USR0120,77222,0.1986,0.0191,0.1,89262,11335,1.1559,0.1468,-0.0106,0,76399,29193,0,172.33,999,67055,0.8683,0,1.0,1510,0.3401,0,0.1104,31,at_risk
USR0121,39711,0.0321,-0.0003,0.8,39405,6045,0.9923,0.1522,-0.0516,1,107918,111982,87176,-195.94,550,14827,0.3734,1,0.9444,137795,1.1316,0,0.0215,23,at_risk
USR0122,117573,0.0188,-0.0063,0.8,58214,17180,0.4951,0.1461,0.0054,0,573580,578736,508504,709.02,999,20801,0.1769,0,1.0,21677,1.0,0,0.0039,20,healthy
USR0123,50526,0.0253,-0.0064,0.8,40306,8676,0.7977,0.1717,0.0132,0,182250,183437,144022,-116.0,999,20635,0.4084,0,1.0,1354,2.2756,0,-0.0222,18,healthy
USR0124,50208,0.0359,-0.0035,0.8,26721,8106,0.5322,0.1614,-0.0891,1,133234,138358,106229,420.89,999,13140,0.2617,2,0.8889,161454,0.3867,0,-0.0431,13,at_risk
USR0125,54609,0.0245,0.0027,0.8,53312,10447,0.9762,0.1913,0.0084,0,13874,24522,3512,-396.14,35,36664,0.6714,0,1.0,682,0.7216,0,-0.0359,20,critical
USR0126,21277,0.0258,0.0112,0.9,17941,4832,0.8432,0.2271,-0.0421,1,26736,30172,15287,10.82,999,0,0.0,0,1.0,89787,1.09,0,-0.0131,9,healthy
USR0127,54925,0.0271,0.0106,0.9,40585,9018,0.7389,0.1642,-0.0065,0,203923,218179,194555,161.56,999,18498,0.3368,0,1.0,741,0.8142,0,-0.0134,27,healthy
USR0128,63112,0.0234,0.0004,0.8,45096,9478,0.7145,0.1502,0.0139,0,314884,324773,289692,86.94,999,21056,0.3336,0,1.0,1714,2.0651,0,-0.0528,18,healthy
USR0129,11129,0.4469,-0.194,0.9,11467,6044,1.0303,0.5431,-0.0041,0,29404,37587,29404,-218.1,134,4787,0.4301,0,1.0,471,0.3064,0,0.2159,18,at_risk
USR0130,24428,0.3604,-0.1623,0.9,39231,9490,1.606,0.3885,-0.0139,0,17596,27930,17596,-19.28,912,39102,1.6007,1,0.8889,969,2.7143,0,-0.4373,9,critical
USR0131,100582,0.0337,0.0009,0.9,131428,19364,1.3067,0.1925,-0.0133,0,1888,48040,1888,-276.75,6,92375,0.9184,0,1.0,2292,0.9971,0,-0.0804,25,critical
USR0132,30863,0.0271,-0.008,0.9,56020,5705,1.8151,0.1848,0.0019,0,7548,15665,7548,-61.28,123,44928,1.4557,0,1.0,390,0.559,0,-0.0167,18,at_risk
USR0133,17239,0.2075,-0.0826,0.8,23784,4364,1.3796,0.2531,0.0982,1,10857,21603,10857,-20.33,534,16213,0.9405,0,1.0,445,1.1741,0,0.3612,14,at_risk
USR0134,52169,0.024,-0.0082,0.8,56190,12375,1.0771,0.2372,-0.0002,1,0,13658,0,-115.66,999,32275,0.6187,0,1.0,83056,0.0373,0,0.0294,23,at_risk
USR0135,11964,0.0804,-0.0299,0.9,13907,1726,1.1624,0.1443,0.0197,0,10965,16861,10965,-163.16,67,8767,0.7328,0,1.0,254,0.9924,0,0.0052,14,at_risk
USR0136,35227,0.0226,0.0033,0.9,58965,7619,1.6738,0.2163,-0.0559,1,0,11510,0,-193.06,999,40415,1.1473,0,1.0,136317,0.0264,0,0.0101,11,at_risk
USR0137,41602,0.4226,-0.1869,0.5,58385,16996,1.4034,0.4085,-0.066,0,208079,220116,196040,-924.45,225,39400,0.9471,3,0.8889,2206,0.4555,0,0.122,25,critical
USR0138,11998,0.4292,-0.2036,0.8,18168,3090,1.5142,0.2575,-0.0404,0,16522,20859,13153,-245.18,67,12567,1.0474,1,0.8889,579,0.7227,0,-0.0357,16,critical
USR0139,39320,0.0687,0.0193,0.9,25867,7110,0.6579,0.1808,-0.0988,1,76656,84932,70294,70.99,999,13080,0.3327,0,1.0,48497,0.0184,0,0.1425,19,healthy
USR0140,15460,0.0257,-0.0019,0.9,4650,3383,0.3008,0.2188,0.0032,0,94827,97795,88723,297.45,999,0,0.0,0,1.0,497,0.2435,0,-0.0051,10,healthy
